2/23	5	48	0	748	136	80	55	192
2/23	5	47	0	750	130	80	55	192
2/24	5	46	0	742	140	79	55	193
2/25	5	46	0	760	135	79	54	192
2/25	5	46	0	743	120	79	54	192
2/26	5	47	0	738	130	79	54	191
2/26	5	48	0	747	140	78	54	190
2/27	5	46	0	745	110	78	55	191
2/27	5	48	0	754	120	78	54	190
